1,Triple Icon Nig. Ltd,CAC/PU/CUG/001,Supply of 100 nos. Toners 05A,Completed,Registrar General,1950000,"12th January, 2015"
2,Mickavon Ventures Nig.,CAC/PU/CUG/002,Supply of 8 nos. of Toshiba Laptop,Completed,Registrar General,2320000,"12th January, 2015"
3,Halaco Prints and Media Limited,CAC/PU/CUG/003,"Supply /printing of 20,000 copies of letter head papers",Completed,Registrar General,1000000,"20th January, 2015"
4,Global Resources Ltd,CAC/PU/CL/G/004,supply UPS (Nos.75) batteries 12V/7AH,Completed,Registrar General,984375,"26th January, 2015"
5,Dpath Consult Ltd ,CAC/PU/CUG/005,"Supply of Laptop (Apple Macbook Pro13"")",Completed,Registrar General,720000,"29th January, 2015"
6,CFAO Equipment,CAC/PU/CUG/006,"Supply and installation of batteries for MGE UPS Galaxy- 5000, 2X6OKVA",Completed,Registrar General,1627500,"29th January, 2015"
7,Mushin Nigeria Ltd,CAC/PU/CUG/008,Supply of File Box Supply HP Toner 80A,Completed,Registrar General,670000,"3rd February, 2015"
8,Hadsmeen Nig. Ltd,CAC/PU/CL/G/009,Supply of HP Toner 80A,Completed,Registrar General,750000,"13th February, 2015"
9,Danile Ametse Tech. Company,CAC/PU/CL/010,Installation of mast pole at Port- Harcourt,Completed,Registrar General,1445400,"4th March, 2015"
10,Emrate Systems Limited,CAC/PU/CUG/011,Supply of 1000 pieces arch lever file box,Completed,"Registrar
General",700000,"4th March, 2015"
11,Gaisan Technologies Ltd,CAC/PU/CUG/012,Supply of (9nos) Oki C531 do Toner,Completed,"Registrar
General",2430000,"4th March, 2015"
12,Halaco Prints and Media Limited,CAC/PU/CUG/014,"Supply /printing of letter head papers, CAC forms and dispatch envelops",Completed,"Registrar
General",2450000,"13th March, 2015"
13,Euphoria Press Limited,CAC/PU/CUG/015,"Printing of 100,000 nos. of Limited Liability Certificates",Completed,"Commission's
Tenders Board",49000000,"26th March, 2015"
14,Gaisan Technologies Ltd,CAC/PU/CUG/016,Supply of HP5550 Toners,Completed,"Commission's
Tenders Board",18000000,"26th March, 2015"
15,Halaco Prints and Media Limited,CAC/PU/CUG/017,"Supply of letter head paper, dispatch envelop and other saleable forms",Completed,"Commission's
Tenders Board",17580000,"26th March, 2015"
16,Numatics Systems Limited,CAC/PU/CUG/018,Supply of Servers,Completed,"Commission's
Tenders Board",9276750,"26th March, 2015."
17,Mbadai Global Multi Concept Ltd,CAC/PU/CL/G/019,Supply of 2500 ream of A4 Paper (Chamex),Completed,"Registrar
General",2450000,"8th April, 2015"
18,Qualtyn Global Ventures Ltd,CAC/MCl/G/020,Supply of Nos.180 of UPS Batteries for State Offices,Completed,"Registrar
General",2362500,"28th April, 2015"
19,Ifymick Integrated Nigeria,CAC/PU/CL/G/022,Supply of ID Card Materials,Completed,"Registrar
General",2350000,"12th May, 2015"
20,Extra Press Ltd,CAC/PU/CUG/023,Printing and supply of Index Register,Completed,"Registrar
General",2250000,"28th May, 2015"
21,Setza Systems Limited,CAC/PU/CUG/026,"Supply of PH Proliant DL . 380, 8GBRAM Server Memory",Completed,"Registrar
General",1752000,"3rd June, 2015"
22,Setza Systems Limited,CAC/PU/CL/G/028,Supply of 8GB and server CPU,Completed,"Registrar
General",12709200,"7th July, 2015"
23,Halaco Prints and Media Limited,CAC/PU/CLJG/029,"Printing/supply 100,000 green file jackets",Completed,"Commission's
Tender Board",5500000,"7th July, 2015"
24,Ambel Gen. Contractors Nig Limited,CAC/PU/CL/G/030,Supply of Nos. 10 of AR6020 photocopier,Completed,"Commission's
Tender Board",5000000,"7th July, 2015"
25,MicroAccess Limited,CAC/PU/CIJG/031,Replacement of stacks of batteries at the Data Centre,Completed,"Commission's
Tender Board",18795840,"7th July, 2015"
26,Tamaigari Multipurpose Company,CAC/PU/CL/G/032,Supply of Stationery Items,Completed,"Registrar
General",1820000,"14th July, 2015"
27,Mat - Lad Tech Nig. Ltd,CAC/PU/CUG/033,Supply of wildmer time machine and customized stamp for CAC,Completed,"Registrar
General",1300000,"23rd July, 2015"
28,Havitol Health Care Ltd,CAC/PU/CL/G/034,"Supply of back, neck and waist massager",Completed,"Registrar
General",1800000,"23rd July, 2015"
29,Halaco Prints and Media Limited,CAC/PU/CUG/035,Supply of Saleable Items,Completed,"Registrar
General",1425000,"23rd July, 2015"
30,Mbadai Global Multi Concept Ltd,CAC/PU/CL/G/036,Procurement of Cisco Router 2911 and Cisco 3560G Switch,Completed,"Registrar
General",2450000,"23rd July, 2015"
31,Tamaigari Multipurpose Company  ,CAC/PU/CL/G/038,Supply of Stationary Items,Completed,Registrar General ,2050000,"10th August, 2015"
32,MicroAccess Limited,CAC/PU/CUG/039,Supply of Gaston GT 12-150F Batteries,Completed,Commission's Tender Board,17472000,"13th August, 2015"
33,Gifted Driving Services & Motor Solutions Ltd,CAC/PU/CLJG/040,Installation of speed limiters on the Commission's vehicles,Completed,"Registrar
General",2079000,"18th August, 2015"
34,A&A Multi Contract Ltd,CAC/PU/CL/G/041,supply of 200 nos. of 8GB & 4GB flash drives,Completed,"Registrar
General
L",1750000,"18th August, 2015"
35,Euphoria Press Limited,CAC/PU/CL/G/042,"Printing/supply of 100,000 Nos. of Business Names Certificates",Completed,"Commission's
Tender Board",49000000,"21st August, 2015"
36,Halaco Prints and Media Limited,CAC/PU/CUG1043,Printing/supply of saleable forms,Completed,"Commission's
Tender Board",15500000,"21st August, 2015"
37,Numatics Systems Limited,CAC/PU/CL/G/044,Supply of 50 sets of OKI C5950 Drum Kit and 100 pcs Belt Drive ,Completed,"Commission's
Tender Board",15500000,"21st August, 2015"
38,Setza Systems Limited,CAC/PU/CL/G/045,"Supply of HP 5550 Toners (Black, Cyan, Yellow and Magenta)",Completed,"Commission's
Tender Board",24150000,"21st August, 2015"
39,Yalzad Integrated Resources Ltd,CAC/PU/CL/G/046,Supply of 100 units of Toner 116,Completed,"Registrar
General",900000,"25th August, 2015"
40,Lawrry West Ventures Ltd,CAC/PU/CIJG/049,printing/supply of complimentary cards for the Commission's Management Staff,Completed,"Registrar
General",1320000,"3rd September, 2015"
41,Olujumex Nig. Ltd,CAC/PU/CL/G/050,"Supply of 2,500 Nos. A4 photocopy paper Chamex",Completed,"Registrar
General",2450000,"8th September, 2015"
42,Mat-Lad Tech Ltd,CAC/PU/CUG/052,"Supply and installation of Air Conditioners at the Head Office, Alausa and Yaba Office",Completed,"Commission's
Tender Board",20736187.05,"15th September, 2015"
43,Craft Code Inter-link Ltd,CAC/PU/CUG/053,Supply of HP Color Laser Jet Enterprises Printer M750n (D3L08A),Completed,"Commission's
Tender Board",19500000,"15th September, 2015"
44,losafe Nigeria Limited,CAC/PU/CUG/054,Procurement of losafe fire/waterproof external storage device,Completed,"Commission's
Tender Board",15505465.5,"15th September, 2015"
45,Qualtyn Global Ventures Limited,CAC/PU/CUG/055,Supply and installation of CAC customized window blinds,Completed,"Commission's
Tender Board",5937500,"15th September, 2015"
46,Kitwood Nigeria Ltd,CAC/PU/CL/G/056,supply of office furniture,Completed,"Commission's
Tender Board",49905450,"15th September, 2015"
47,Perfect Choice Digital Inv.Ltd,CAC/PU/CUG/057,supply of stationary items,Completed,"Registrar
General",1382500,"21st September, 2015"
48,AES Professionals,CAC/PU/CUG/071,Supply of ICT Equipment (Lot 1),Completed,"Commission's
Tender Board",26628000,"23rd December, 2015"
49,Jestures Limited,CAC/PU/CLJG/072,Supply of ICT Equipment (Lot 2),Completed,"Commission's
Tender Board",33845000,"23rd December, 2015"
50,Arit of Africa Ltd,CAC/PU/CUG/073,Supply of ICT Equipment (Lot 4),Completed,"Commission's
Tender Board",11221880.04,"23rd December, 2015"
51,JMG Limited,CAC/PU/CUG/076,Supply and installation of Generators,Completed,"Commission's
Tender Board",22151944.5,"23rd December, 2015"
52,Alhaji Mohammadu and Sons Ltd,CAC/PU/CUG/077,Supply of stationary items,Completed,"Registrar
General",801000,"23rd December, 2015"
