1,"January 6, 2015",SUPPLY OF 300 PIECES OF STEEL/IRON PALLETS FOR THE AGENCY'S WAREHOUSE IN GWARIMPA,JEWEL ID MERCHANTS LTD,1800000,,,"1,800,000 00",100,,,
2,"January 7, 2015",SUPPLY OF MEDICAMENTS TO HOSPITALS IN GOMBE STATE,Numora Integrated Services Ltd,6089150,,,"6,089,150.00",100,,,
3,"December 10, 2014",PURCHASE OF 1EPENSSEN ENROUTE NAVIGATIONAL CHARTS,LANDOVER COMPANY,1028882.4,,,"1,028,882-40",100,,,
4,"January 8, 2015","WAREHOUSE CONVERSION WORKS (WAREHOUSE TO OFFICE ACCOMMODATION) AT THE AGENCY'S HEADQUARTERS, ABUJA",AVANT GARDE DESIGNS,87411156.13,,,"74,421,220.",95,ON-GOING,,
5,"January 8, 2015",SUPPLY OF DRUGS AT NEMA SICK BAY,CAMMY HEALTHCARE,1386570,,,"1,386,570.00",100,,,
6,"January 9, 2015",SUPPLYAND INSTALLATION OF 400 UNITS OF RAPISCAN H128 HANDHELD METAL DETECTOR EQUIPMENT FOR SCHOOLS IN THE THREE STATE OF EMERGENCY STATES OF ADAMAWA. BORNO AND YORE AND FEDERAL UNITY COLLEGES,AR SECURITY SOLUTIONS,10800000,,,"10,800,000 00",100,,,
7,"January 16, 2015",SUPPLY AND INSTALLATION OF MOBILE MEDICAL EQUIPMENT ON-BOARD NEMA'S CESSNA CITATION SOVEREIGN JET AIRCRAFT (AIR AMBULANCE),AEROMEDVAC IRELAND LIMITED,18216813.2,,,"18,216,813.20",100,,,
8,"January 28, 2015","CONSTRUCTION OF 2 NOS. INDUSTRIAL BOREHOLE (5"") AND OVERHEAD TANK (20,000 M3 ON 9M STEEL STAND) POWERED BY 130W SOLAR PANEL",UMAR BAHAGO WATER ENGINEERING SERVICES LTD,5843000,,,"5,843,000.00",100,,,
9,1/79/2015,CONSTRUCTION OF TWO (2) EMERGENCY RESPONSE/AMBULANCE BAY (ERABS) AT BILL CLINTON DRIVE ON AIRPORT ROAD AND NYANYA ROAD IN ABUJA,AVANT GARDE DESIGNS,20525050.58,,,"20,525,050 58",95,,,
10,"January 29, 2015","ORGANISATION OF 5-DAY RETREAT FOR STAFF OF FINANCE AND ACCOUNTS DEPARTMENT, INTERNAL AUDIT UNIT AND OTHER RELEVANT STAFF IN THE AGENCY",RASAQ QUADRI AND CO,20925000,,,"20.925,000.00",100,,,
11,"January 29, 2015",SUPPLY OF OFFICE FURNITURE AND EQUIPMENT,EXTRA SERVICES GLOBAL INVESTMENT LTD,6720200,,,"6,720,200 00",10C,,,
12,"January 29, 2015",SUPPLY OF OFFICE EQUIPMENT,ZENITH PROCUREMENT SERVICES,3239000,,,"3,239,000.00",100,,,
13,"January 29, 2015",ORGANISATION OF A 2-DAY TRAINING FOR STAFF OF THE AGENCY IN THE SOUTH-WEST ZONAL OFFICE LAGOS ON FREEDOM OF INFORMATION (F01) ACT,MALIM AND ASSOCIATES LEGAL PRACTITIONER,12000000,,,"12,000,000.00",100,,,
14,"January 29, 2015","PRODUCTION AND PRINTING OF 500 COPIES EACH OF THE AGENCY'S AUDITED FINANCIAL STATEMENTS FOR THE YEARS 2011, 2012 & 2013",SPRINT ASSOCIATES LTD,7260000,,,"7,260,000.00",100,,,
15,"January 29, 2015",SUPPLY OF 300 PIECES OF SOLAR LANTERNS,SLEDGE ENERGY PROJECTS,6000000,,,"6,000,000 00",100,,,
16,"January 29, 2015","SUPPLY OF ADDITIONAL CUSTOMISED
UNIFORMS & ACCESSORIES & SPECIAL SAFETY BOOTS FOR THE AGENCY'S SPECIAL AIR OPERATIONS UNIT",STONEWALL INTEGRATED SERVICES LTD,12325230,,,"1.2,325,230.00",100,,,
17,"January 29, 2015","DEPLOYMENT OF ENTERPRISE RESOURCE PLANNER (ERP) ACCOUNTING SOFTWARE AT THE NEWLY ESTABLISHED OPERATIONS OFFICES IN SOKOTO, EKITI, MINNA GOMBE AND OWERRI",ENCOMPASSING TECHNOLOGY LTD,22500000,,,"22,500,000.00",100,,,
18,"January 29, 2015",PROVISION OF THE FIRST PHASE OF THE INTERNATIONAL PUBLIC SECTOR ACCOUNTING STANDARD (IPSAS) (CONVERSION OF ACCOUNTING SYSTEM) IMPLEMENTATION SERVICE IN THE AGENCY,BPS CONSULT,47250000,,,"47,250,000.00",100,,,
19I,"January 29, 2015",PROVISION OF THE SECOND PHASE OF THE INTERNATIONAL PUBLIC SECTOR ACCOUNTING STANDARD (IPSAS) (TECHNICAL TRAINING OF STAFF) IMPLEMENTATION SERVICE FOR THE AGENCY,ONE ALPHA INFINITY,11550000,,,"11,550,000.00",100,,,
20,"February 6, 2015",PRODUCTION OF A WEEKLY 30 MINUTES AWARENESS TELEVISION DOCUMENTARY PROGRAMME,GHINA WEST NIGERIA LIMITED,49198000,,,"49,198,000.00",100,,,
21,"February 9, 2015",DESIGN AND PRINTING OF 1000 COPIES OF AI.JARENESS AND INFORMATION MATERIALS,TESSILLICAL VENTURES,2385000,,,"2,385,000,00",100,,,
22,"February 16, 2015",SUPPLY OF OFFICE FURNITURE AND EQUIPMENT,HARDY NAT & CO. MG LTD,3335000,,,"3,335,000.00",100,,,
23,"February 17, 2015",REPAIR OF THE AGENCY'S OFFICIAL CAR WITH REG. NO. 02R34FG,RASHUT AUTO FLEET LTD,747000,,,"747,000.00",100,,,
24,"February 23, 2015",SUPPLY OF AIR CONDITIONERS,MTS MULTI VENTURES,1298000,,,"1,298,000.00",100,,,
25,"March 4, 2015",SUPPLY OF ESSENTIAL DRUGS TO ABUBAKAR TAFAWA BALEWA UNIT ':-.RSITY TAECHING HOSPITAL (ABUTH) BAUCHI STATE,DEWS CHEMICAL & PHARM CO. LTD,1708500,,,"1,708,500.00",100,,,
26,"March 6, 2015",SUPPLY OF PANASONIC AIR CONDITIONERS,HIGH TARGET GLOBAL VENTURES,2404000,,,"2,404,000.00",100,,,
27,"March 30, 2015","SUPPLY OF DRUGS AND MEDICAL
CONSUMABLES TO THE CHIBOK IDPS IN KUJE AREA COUNCIL ABUJA",DEWS CHEMICAL & PHAR CO LTD,3719500,,,"3,719,500.00",100,,,
