1,"Purchase and Rehabilitation of property/uncompleted
building for NI-15 Coorperate Head Office","January 4, 2018",Single Sourcing,V.5 Associates Limited,990000000,100,"BPP Letter of
compliance dated
",,20 August 2015
3,"Procurement and Installation of Lift for NHIS Head
Quarters","March 12, 2018","National
Competitive Bidding","CF AO Equipment Nigeria Limited
",39219801,On-going,"Federal Tenders.
Journal, Daily
Trust and
Guardian of 1st
",09- 3141395/ 01-7740415,"April, 2014"
4,"Supply and Installation of Public Address System for Lagos
Zonal Offices","April 16, 2018","National
Competitive Bidding","GIugton Technical Limited
",9915245,100,"Federal Tenders.
Journal, Daily
Trust and
Guardian of 1st
",8139905465,"April, 2014"
5,Upgrade of NHIS Enrollee Data Base Server Infrastructure,"April 20, 2018",Selective Method,Sunnet System & Security Datacom Services Limited ,45862633.4,100,"BPP No Objection
Certificate dated
",8139009405,"31 March, 2015"
6,"Supply and Installation of Security Equipment for Head
quarters","April 17, 2018",Selective Method,Merry Aviation Comm Elect Industrial Ltd ,19065000,100,"BPP No Objection
Certificate dated
",08037755755/ 08057755222,"16 March, 2015"
7,Supply and Installation of Security Equipment for Wuse 11,"April 21, 2015",Selective Method,"Mesom Investment Limited
",79065000,100,"BPP No Objection
Certificate dated
",08031138031/ 08095563708,"16 March, 2015"
8,"Provision of Machine- 2 Machine Advanced Fleet
Management Service","November 25, 2015",Selective Method,MTN Nigeria Communication Ltd ,20223000,100,BPP No Objection Certificate dated ,08039020001,"20 October, 2015"
9,Supply of HP Laser Jet 600M602n Printer,"May 5, 2015",Request for Quotations,"Ethel Ventures Limited
",230000,100,,08034752041,
10,Repair & Recofigu ration of Oracle Enterprise Manager,"May 6, 2015",Request for Quotations,Ha-shem Network Service Limited ,2094674.63,100,,08088991536,
11,"Supply of Refilled Bottle Water (1400 Bottles &Ten Cartons
of ST.Louis Sugar","May 12, 2015",Request for Quotations,Pinacle Trading Investment Nig Ltd,972000,100,,08055263619,
12,Routine Maintenance work of Facility at Wuse II Office,"May 12, 2015",Request for Quotations,"Business Communication Limited
",1598852,100,,"07037163554 ,",
13,"Printing of Flyers & Flex Posters(AS Sized) for Karu LGA
CBSHIP","May 20, 2015",Request for Quotations,Osikhogie Ventures ,600000,100,,08033081470,
14,Conduct Promotional Exams for DGMs of NHIS for 2015,"May 25, 2015",Request for Quotations,Afred Consulting ,500000,100,,08065301412,
15,Maintenance of Car Parks Shades,"May 25, 2015",Request for Quotations,Yomhen &Co. Nigeria Limited,868940.8,100,,08053813380,
16,Printing of Quarterly Newsletter of the Scheme,"May 25, 2015",Request for Quotations,"Motiwayo Nigeria Limited
",1118000,100,,08023181537,
17,Maintenance Services for CCTV Camera in Utako & Wuse II Offices,"June 9, 2015",Request for Quotations,Acti Tech Limited ,2000000,100,,08034077329,
18,"Supply of 10,000 AGO Diesel to NHIS Wuse II Office","June 9, 2015",Request for Quotations,Tamik Oil & Gas ,1950000,100,,08057828832,
19,"Supply of 20,000 AGO Diesel to NHIS Utako Office","June 9, 2015",Request for Quotations,Tamik Oil & Gas ,3900000,100,,08051828832,
20,Provision of Security Services for Headquaters and Annex Office,"September 1, 2015","National
Competitive Bidding","Bakas Guards & Security Limited
",24000000,100,"Federal Tenders
Journal, Daily
Trust and
Guardian of ",07058643783/08036708163,4 May-15
21,Provision of Cleaning Services for Headquaters and Annex Office,"September 1, 2015","National
Competitive Bidding","Total Facilities Mgt Limited
",9686250,100,"Federal Tenders
Journal, Daily
Trust and
Guardian of ",070102355545/ 08082071946,4 May-15
