115,OTHER ENTERPRISE SUPPORT SERVICES,14th October 2015,50.000.000.00,Open Competitive Bidding,25 th NOVEMBER. 2015,25/11/2015 4 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,EARTH PLAN NIG LTD,15TH DECEMBER 2015,13777500,5 MONTHS,NILL,13.777.500,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
2,SUPPORT programme for ailing ENTERPRISES,14th October 2015,"50,000,000,00",Open Competitive Bidding,25th NOVEMBER 2015,25/11/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDEPEP,STABLE TECHNOLOGY LTD,15TH DECEMBER 2015,45925000,5 MONTHS,NILL,45.925.000,MAXIMUM of 7 WEEKS,COMPLETED,100%,NIL,NIL
3,SUPPORT programme for ailing ENTERPRISES,14th October 2015,"50,000,000,00",Open Competitive Bidding,2Sth NOVEMBER 2015,25/11/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,HALIS MATRIX LTD,15TH DECEMBER 2015,13777500,5 MONTHS,MILL,13.77 7.500,MAXIMUM OF 7 WEEKS,completed,100%,NIL,NIL
4,SUPPORT programme for ailing ENTERPRISES,14th October 2015,"50,000,000,00",Open Competitive Bidding,25th NOVEMBER. 2015,25/H/2015 & 10/12/2015,9061969579.21,MILL,14-Dec-15,MOST RESPONSIVE TENDERER,INDEPENDENT SERVICES NIG LTD,15TH DECEMBER 2015,18370000,5 MONTHS,NILL,18 370.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
353,PROVISION OF STRATEGIC EMPOWERMENT,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER. 2015,25/11/2015 & 10/12/2015,9061969579.21,NIL,14-Dec-15,MOST RESPONSIVE TENDERER,EARTH PLAN NIG LTD,15TH DECEMBER 2015,4559000,5 MONTHS,NIL,4.559.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
6,SUPPORT programme for ailing ENTERPRISES,14th October 2015,50.000 000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/11/2015 &10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,DUAL-BASOL NIG LTD,15TH DECEMBER 2015,13777500,5 MONTHS,NILL,13.777.500,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
7,SUPPORT programme for ailing ENTERPRISES,14th October 2015,"50,000,000,00",Open Competitive Bidding,25th NOVEMBER 2015,25/11/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,BABCHUCKS trestle nig ltd,15TH DECEMBER 2015,36740000,5 MONTHS,MILL,36.740 000,maximum of 7 WEEKS,COMPLETED,100%,NIL,NIL
8,SUPPORT programme for ailing ENTERPRISES,14th October 2015,"50,000,000,00",Open Competitve Bidding,25th NOVEMBER. 2015,25/11/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,AFRI FARMERS AND AIDED PRODUCTS CONSULTANTS LTD,15TH DECEMBER 2015,22962500,5 MONTHS,MILL,22 962.500,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
9,SUPPORT programme for ailing ENTERPRISES,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,ABILELE INDUSTRIES LTD,15TH DECEMBER 2015,"18,370,000",5 MONTHS,NiLL,18.370.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
364,PROVISION OF STRATEGIC EMPOWERMENT,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER. 2015,25/11/2015 & 10/12/2015,9061969579.21,NIL,14-Dec-15,MOST RESPONSIVE TENDERER,GOLD ROCK BUSINESS VENTURES LTD,15TH DECEMBER 2015,18200000,5 MONTHS,NIL,18.200.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%-,NIL,NIL
11,SUPPORT programme for ailing ENTERPRISES,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,FIELD EFFECTS GLOBAL CONSULTING LTD,15TH DECEMBER 2015,9185000,5 MONTHS,MILL,9.185.COO,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIL,NIL
12,SUPPORT programme for ailing ENTERPRISES,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,most RESPONSIVE TENDERER,ZYMARZ NIG LTD,15TH DECEMBER 2015,13226400,5 MONTHS,MILL,13.226.400,MAXIMUM OF 7 WEEKS,COMPLETED,I00%,NIL,NIL
13,SUPPORT programme for ailing ENTERPRISES,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,most RESPONSIVE TENDE?E°,XOZAP NIG LTD,15TH DECEMBER 2015,6596000,5 MONTHS,MILL,6 596.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,MIL,NIL
14,SUPPORT ppogramme FOR AILING ENTERPRISES,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,EMJAS ALLIED MiG LTO,15TH DECEMBER 2015,"4,947.00",5 months,NHL,4.947.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NIIL,NIL
61,ENTREPRENEURSHI P DEVELOPMENT TRAINING,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER. 2015,25/11/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,GOLD ROCK BUSINESS VENTURES LTD,15TH DECEMBER 2015,18370000,5 MONTHS,NILL,18.370.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NILL,NIL
16,POST-SEASONAL INTERVENTION PPOGRAMME,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,most PESPONSIVE TENDERER,REALAND STANDARD INVESTMENT LTD,15TH DECEMBER 2015,45925000,5 MONTHS,MILL,45.925,MAXIMUM OF 7 WEEKS,completed,100%,NILL,NIL
17,POST-SEASONAL INTERVENTION PROGRAMME,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,most RESPONSIVE TENDERER,PROPORTION CONSTRUCTION AND DREDGE WORKS LID,15TH DECEMBER 2015,13777500,5 MONTHS,MILL,13777.5,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NHL,NIL
18,POST-SEASONAL INTERVENTION programme,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENCERER,ABILELE INDUSTRIES LTD,15TH DECEMBER 2015,27555000,5 MONTHS,NHL,27.555.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NHL,NIL
19,POST-SEASOnal intervention PROGRAMME,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,INTRA GLOBAL VENTURES ltd,15TH DECEMBER 2015,36740000,5 MONTHS,NIU,36740,MAXIMUM OF 7 WEEKS,completed,’00%,NHL,NIL
20,POST-SEASONAL INTERVENTION PROGRAMME,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE 7cNDERSR,THISTLEPRAXIS NONSUITING LTD,15TH DECEMBER 2015,13777500,5 MONTHS,NHL,13 777.500,MAXIMUM OF 7 WEEKS,COMPLETED,I0C%,NHL,N»L
21,POST-SEASONAL INTERVENTION programme,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,MOSRA ENERJI LTD,15TH DECEMBER 2015,18370000,5 MONTHS,NILL,18.370.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NILL,NIL
22,post-seasonal intervention PROGRAMME,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,BAKUISU CONSULTING LTD,15TH DECEMBER 2015,18370000,5 MONTHS,NILL,18.370.000,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NILL,NIL
23,post-seasonal INTERVENTION programme,14th October 2015,50.000.000.00,Open Competitive Bidding,25th NOVEMBER 2015,25/15/2015 & 10/12/2015,9061969579.21,NILL,14-Dec-15,MOST RESPONSIVE TENDERER,STABLE TECHNOLOGY LTD,15TH DECEMBER 2015,13777500,5 MONTHS,NILL,13.777.500,MAXIMUM OF 7 WEEKS,COMPLETED,100%,NILL,NIL
